local_file_inclusion_paths, lfi_path
*/apache2/logs/access.log*, yes
*/apache2/logs/error.log*, yes
*/apache/conf/httpd.conf*, yes
*/apache/logs/access.log*, yes
*/apache/logs/error.log*, yes
*/apache/php/php.ini*, yes
*/apachephpphp.ini*, yes
*/bin/php.ini*, yes
*/boot/grub/grub.cfg*, yes
*/boot/grub/menu.lst*, yes
*/etc/adduser.conf*, yes
*/etc/alias*, yes
*/etc/apache22/conf/httpd.conf*, yes
*/etc/apache22/httpd.conf*, yes
*/etc/apache2/apache2.conf*, yes
*/etc/apache2/apache.conf*, yes
*/etc/apache2/conf/httpd.conf*, yes
*/etc/apache2/default-server.conf*, yes
*/etc/apache2/envvars*, yes
*/etc/apache2/httpd2.conf*, yes
*/etc/apache2/httpd.conf*, yes
*/etc/apache2/mods-available/autoindex.conf*, yes
*/etc/apache2/mods-available/deflate.conf*, yes
*/etc/apache2/mods-available/dir.conf*, yes
*/etc/apache2/mods-available/mem_cache.conf*, yes
*/etc/apache2/mods-available/mime.conf*, yes
*/etc/apache2/mods-available/proxy.conf*, yes
*/etc/apache2/mods-available/setenvif.conf*, yes
*/etc/apache2/mods-available/ssl.conf*, yes
*/etc/apache2/mods-enabled/alias.conf*, yes
*/etc/apache2/mods-enabled/deflate.conf*, yes
*/etc/apache2/mods-enabled/dir.conf*, yes
*/etc/apache2/mods-enabled/mime.conf*, yes
*/etc/apache2/mods-enabled/negotiation.conf*, yes
*/etc/apache2/mods-enabled/php5.conf*, yes
*/etc/apache2/mods-enabled/status.conf*, yes
*/etc/apache2/ports.conf*, yes
*/etc/apache2/sites-available/default*, yes
*/etc/apache2/sites-available/default-ssl*, yes
*/etc/apache2/sites-enabled/000-default*, yes
*/etc/apache2/sites-enabled/default*, yes
*/etc/apache2/ssl-global.conf*, yes
*/etc/apache/access.conf*, yes
*/etc/apache/apache.conf*, yes
*/etc/apache/conf/httpd.conf*, yes
*/etc/apache/default-server.conf*, yes
*/etc/apache/httpd.conf*, yes
*/etc/apt/apt.conf*, yes
*/etc/avahi/avahi-daemon.conf*, yes
*/etc/bash.bashrc*, yes
*/etc/bluetooth/input.conf*, yes
*/etc/bluetooth/main.conf*, yes
*/etc/bluetooth/network.conf*, yes
*/etc/bluetooth/rfcomm.conf*, yes
*/etc/ca-certificates.conf*, yes
*/etc/ca-certificates.conf.dpkg-old*, yes
*/etc/casper.conf*, yes
*/etc/chkrootkit.conf*, yes
*/etc/chrootUsers*, yes
*/etc/clamav/clamd.conf*, yes
*/etc/clamav/freshclam.conf*, yes
*/etc/crontab*, yes
*/etc/crypttab*, yes
*/etc/cups/acroread.conf*, yes
*/etc/cups/cupsd.conf*, yes
*/etc/cups/cupsd.conf.default*, yes
*/etc/cups/pdftops.conf*, yes
*/etc/cups/printers.conf*, yes
*/etc/cvs-cron.conf*, yes
*/etc/cvs-pserver.conf*, yes
*/etc/debconf.conf*, yes
*/etc/debian_version*, yes
*/etc/default/grub*, yes
*/etc/deluser.conf*, yes
*/etc/dhcp3/dhclient.conf*, yes
*/etc/dhcp3/dhcpd.conf*, yes
*/etc/dhcp/dhclient.conf*, yes
*/etc/dns2tcpd.conf*, yes
*/etc/e2fsck.conf*, yes
*/etc/esound/esd.conf*, yes
*/etc/etter.conf*, yes
*/etc/exports*, yes
*/etc/fedora-release*, yes
*/etc/firewall.rules*, yes
*/etc/foremost.conf*, yes
*/etc/fstab*, yes
*/etc/ftpchroot*, yes
*/etc/ftphosts*, yes
*/etc/ftpusers*, yes
*/etc/fuse.conf*, yes
*/etc/group*, yes
*/etc/group-*, yes
*/etc/hdparm.conf*, yes
*/etc/host.conf*, yes
*/etc/hostname*, yes
*/etc/hosts*, yes
*/etc/hosts.allow*, yes
*/etc/hosts.deny*, yes
*/etc/http/conf/httpd.conf*, yes
*/etc/httpd/apache2.conf*, yes
*/etc/httpd/apache.conf*, yes
*/etc/httpd.conf*, yes
*/etc/httpd/conf*, yes
*/etc/httpd/conf/apache2.conf*, yes
*/etc/httpd/conf/apache.conf*, yes
*/etc/httpd/conf.d*, yes
*/etc/httpd/conf/httpd.conf*, yes
*/etc/httpd/extra/httpd-ssl.conf*, yes
*/etc/httpd/httpd.conf*, yes
*/etc/httpd/logs/acces.log*, yes
*/etc/httpd/logs/acces_log*, yes
*/etc/httpd/logs/access.log*, yes
*/etc/httpd/logs/access_log*, yes
*/etc/httpd/logs/error.log*, yes
*/etc/httpd/logs/error_log*, yes
*/etc/httpd/mod_php.conf*, yes
*/etc/httpd/php.ini*, yes
*/etc/http/httpd.conf*, yes
*/etc/inetd.conf*, yes
*/etc/init.d*, yes
*/etc/inittab*, yes
*/etc/ipfw.conf*, yes
*/etc/ipfw.rules*, yes
*/etc/issue*, yes
*/etc/issue.net*, yes
*/etc/kbd/config*, yes
*/etc/kernel-img.conf*, yes
*/etc/kernel-pkg.conf*, yes
*/etc/ldap/ldap.conf*, yes
*/etc/ld.so.conf*, yes
*/etc/lighttpd/lighthttpd.conf*, yes
